User,Film,rate
1.0,1371.0,2.5
1.0,1405.0,1.0
1.0,2105.0,4.0
1.0,2193.0,2.0
1.0,2294.0,2.0
1.0,2455.0,2.5
2.0,17.0,5.0
2.0,62.0,3.0
2.0,110.0,4.0
2.0,144.0,3.0
2.0,150.0,5.0
2.0,153.0,4.0
2.0,161.0,3.0
2.0,165.0,3.0
2.0,168.0,3.0
2.0,185.0,3.0
2.0,186.0,3.0
2.0,222.0,5.0
2.0,223.0,1.0
2.0,225.0,3.0
2.0,235.0,3.0
2.0,248.0,3.0
2.0,253.0,4.0
2.0,261.0,4.0
2.0,265.0,5.0
2.0,266.0,5.0
2.0,272.0,3.0
2.0,273.0,4.0
2.0,292.0,3.0
2.0,296.0,4.0
2.0,300.0,3.0
2.0,314.0,4.0
2.0,317.0,2.0
2.0,319.0,1.0
2.0,339.0,3.0
2.0,349.0,4.0
2.0,350.0,4.0
2.0,364.0,3.0
2.0,377.0,3.0
2.0,405.0,2.0
2.0,410.0,3.0
2.0,454.0,4.0
2.0,457.0,3.0
2.0,468.0,4.0
2.0,480.0,4.0
2.0,497.0,3.0
2.0,500.0,4.0
2.0,508.0,4.0
2.0,509.0,4.0
2.0,527.0,4.0
2.0,537.0,4.0
2.0,539.0,3.0
2.0,550.0,3.0
2.0,551.0,5.0
2.0,552.0,3.0
2.0,585.0,5.0
2.0,586.0,3.0
2.0,587.0,3.0
2.0,588.0,3.0
2.0,590.0,5.0
2.0,592.0,5.0
2.0,593.0,3.0
2.0,616.0,3.0
2.0,661.0,4.0
3.0,110.0,4.0
3.0,247.0,3.5
3.0,267.0,3.0
3.0,296.0,4.5
3.0,318.0,5.0
3.0,377.0,2.5
3.0,527.0,3.0
3.0,588.0,3.0
3.0,592.0,3.0
3.0,593.0,3.0
3.0,595.0,2.0
3.0,778.0,4.0
3.0,866.0,3.0
3.0,1271.0,3.0
3.0,1378.0,4.0
3.0,1580.0,3.5
3.0,1721.0,4.5
3.0,1884.0,4.0
3.0,2028.0,4.0
3.0,2694.0,3.0
3.0,2762.0,3.5
3.0,2841.0,4.0
3.0,2959.0,5.0
3.0,44191.0,3.5
3.0,58559.0,3.0
4.0,112.0,5.0
4.0,141.0,5.0
4.0,153.0,4.0
4.0,173.0,3.0
4.0,185.0,3.0
4.0,260.0,5.0
4.0,289.0,4.0
4.0,296.0,5.0
4.0,329.0,3.0
4.0,349.0,5.0
4.0,364.0,5.0
4.0,380.0,3.0
4.0,410.0,3.0
4.0,431.0,3.0
4.0,434.0,4.0
4.0,435.0,1.0
4.0,440.0,4.0
4.0,442.0,4.0
4.0,464.0,4.0
4.0,480.0,5.0
4.0,541.0,5.0
4.0,588.0,5.0
4.0,590.0,3.0
4.0,594.0,5.0
4.0,596.0,5.0
4.0,616.0,5.0
4.0,858.0,5.0
4.0,903.0,5.0
4.0,910.0,4.0
4.0,913.0,5.0
4.0,919.0,5.0
4.0,1073.0,5.0
4.0,1089.0,5.0
4.0,1125.0,5.0
4.0,1127.0,5.0
4.0,1213.0,5.0
4.0,1257.0,5.0
4.0,1259.0,4.0
4.0,1265.0,5.0
4.0,1278.0,5.0
4.0,1282.0,5.0
4.0,1285.0,4.0
4.0,1371.0,4.0
4.0,1372.0,3.0
4.0,1374.0,4.0
4.0,1376.0,3.0
4.0,1377.0,3.0
4.0,1380.0,5.0
4.0,1387.0,5.0
4.0,1396.0,5.0
4.0,1544.0,3.0
4.0,1580.0,5.0
4.0,1858.0,5.0
4.0,1917.0,4.0
4.0,1918.0,2.0
4.0,1954.0,5.0
4.0,1961.0,5.0
4.0,1967.0,3.0
4.0,1968.0,5.0
4.0,1994.0,5.0
4.0,2000.0,5.0
4.0,2002.0,3.0
4.0,2003.0,2.0
4.0,2005.0,5.0
4.0,2014.0,4.0
4.0,2018.0,5.0
4.0,2020.0,4.0
4.0,2021.0,4.0
4.0,2033.0,4.0
4.0,2034.0,4.0
4.0,2046.0,5.0
4.0,2054.0,3.0
4.0,2064.0,5.0
4.0,2078.0,5.0
4.0,2080.0,5.0
4.0,2085.0,5.0
4.0,2086.0,5.0
4.0,2087.0,5.0
4.0,2091.0,5.0
4.0,2094.0,4.0
4.0,2100.0,5.0
4.0,2102.0,5.0
4.0,2105.0,4.0
4.0,2109.0,5.0
4.0,2110.0,3.0
4.0,2114.0,5.0
4.0,2115.0,5.0
4.0,2124.0,4.0
4.0,2140.0,5.0
4.0,2141.0,4.0
4.0,2143.0,4.0
4.0,2144.0,5.0
4.0,2161.0,5.0
4.0,2193.0,3.0
4.0,2263.0,3.0
4.0,2268.0,5.0
4.0,2289.0,5.0
4.0,2348.0,4.0
4.0,2371.0,4.0
4.0,2454.0,5.0
4.0,2616.0,1.0
4.0,2640.0,5.0
4.0,2699.0,4.0
4.0,2734.0,4.0
4.0,2770.0,1.0
4.0,2788.0,5.0
4.0,2791.0,5.0
4.0,3016.0,3.0
4.0,3034.0,5.0
4.0,3040.0,5.0
4.0,3060.0,5.0
4.0,3101.0,4.0
4.0,3104.0,4.0
4.0,3210.0,4.0
5.0,3.0,4.0
5.0,104.0,4.0
5.0,141.0,4.0
5.0,150.0,4.0
5.0,231.0,3.5
5.0,277.0,4.5
5.0,344.0,3.5
5.0,364.0,4.0
5.0,377.0,4.0
5.0,440.0,4.0
5.0,500.0,4.5
5.0,586.0,4.0
5.0,588.0,3.5
5.0,595.0,4.0
5.0,597.0,5.0
5.0,788.0,3.5
5.0,858.0,2.5
5.0,903.0,3.5
5.0,919.0,4.0
5.0,1247.0,4.0
5.0,1380.0,5.0
5.0,1393.0,3.5
5.0,1485.0,4.5
5.0,1544.0,3.5
5.0,1682.0,4.0
5.0,1721.0,4.0
5.0,1777.0,4.0
5.0,1923.0,4.5
5.0,1961.0,4.0
5.0,1968.0,4.0
5.0,1997.0,3.5
5.0,2023.0,1.5
5.0,2294.0,4.0
5.0,2355.0,3.5
5.0,2502.0,3.5
5.0,2694.0,4.5
5.0,2762.0,3.5
5.0,2770.0,3.5
5.0,3114.0,3.5
5.0,3176.0,3.5
5.0,4025.0,4.5
5.0,4995.0,4.5
5.0,5816.0,3.0
5.0,5995.0,4.0
5.0,6373.0,4.0
5.0,8464.0,4.0
5.0,30707.0,4.5
5.0,30793.0,3.5
5.0,33166.0,5.0
5.0,40819.0,4.5
5.0,41566.0,4.0
5.0,41569.0,4.0
5.0,48385.0,4.5
6.0,111.0,4.0
6.0,158.0,2.0
6.0,173.0,2.0
6.0,293.0,5.0
6.0,596.0,4.0
6.0,903.0,4.0
6.0,1250.0,4.5
6.0,1259.0,4.5
6.0,1285.0,4.5
6.0,1358.0,2.0
6.0,1639.0,2.0
6.0,1687.0,2.0
6.0,1909.0,3.0
6.0,2001.0,3.0
6.0,2019.0,4.0
6.0,2072.0,4.0
6.0,2502.0,3.5
6.0,2528.0,3.0
6.0,2657.0,2.0
6.0,2692.0,4.0
6.0,2761.0,4.5
6.0,2890.0,3.0
6.0,3052.0,1.0
