,budget,model,correct,wrong,total,n_pref_input,n_pref_output,theta_size,theta_additivity,n_items,n_test_subsets,n_tiers,alpha,p
0,1,CARD,5,16,25,1,65,9,2,5,10,12,0.1,0.1
1,1,CLF_UNION,19,12,35,1,35,9,2,5,10,12,0.1,0.1
2,1,ORD-UNION,0,0,0,1,0,9,2,5,10,12,0.1,0.1
3,1,CARD,17,6,24,1,66,9,2,5,10,12,0.1,0.1
4,1,CLF_UNION,28,10,39,1,39,9,2,5,10,12,0.1,0.1
5,1,ORD-UNION,0,0,0,1,0,9,2,5,10,12,0.1,0.1
6,1,CARD,11,7,21,1,69,9,2,5,10,12,0.1,0.1
7,1,CLF_UNION,17,16,36,1,36,9,2,5,10,12,0.1,0.1
8,1,ORD-UNION,0,0,0,1,0,9,2,5,10,12,0.1,0.1
9,1,CARD,12,11,24,1,66,9,2,5,10,12,0.1,0.1
10,1,CLF_UNION,19,12,32,1,32,9,2,5,10,12,0.1,0.1
11,1,ORD-UNION,0,0,0,1,0,9,2,5,10,12,0.1,0.1
12,1,CARD,13,9,24,1,66,9,2,5,10,12,0.1,0.1
13,1,CLF_UNION,15,13,32,1,32,9,2,5,10,12,0.1,0.1
14,1,ORD-UNION,0,0,0,1,0,9,2,5,10,12,0.1,0.1
15,2,CARD,16,17,36,3,53,9,2,5,10,12,0.1,0.1
16,2,CLF_UNION,16,19,39,3,40,9,2,5,10,12,0.1,0.1
17,2,ORD-UNION,1,0,1,3,2,9,2,5,10,12,0.1,0.1
18,2,CARD,19,12,33,3,57,9,2,5,10,12,0.1,0.1
19,2,CLF_UNION,18,20,40,3,40,9,2,5,10,12,0.1,0.1
20,2,ORD-UNION,0,0,0,3,0,9,2,5,10,12,0.1,0.1
21,2,CARD,22,12,37,3,53,9,2,5,10,12,0.1,0.1
22,2,CLF_UNION,27,11,41,3,41,9,2,5,10,12,0.1,0.1
23,2,ORD-UNION,1,0,1,3,1,9,2,5,10,12,0.1,0.1
24,2,CARD,26,9,37,3,53,9,2,5,10,12,0.1,0.1
25,2,CLF_UNION,27,11,40,3,40,9,2,5,10,12,0.1,0.1
26,2,ORD-UNION,1,0,1,3,1,9,2,5,10,12,0.1,0.1
27,2,CARD,23,13,37,3,53,9,2,5,10,12,0.1,0.1
28,2,CLF_UNION,23,16,41,3,41,9,2,5,10,12,0.1,0.1
29,2,ORD-UNION,0,0,0,3,0,9,2,5,10,12,0.1,0.1
30,3,CARD,27,6,40,6,50,9,2,5,10,12,0.1,0.1
31,3,CLF_UNION,29,6,41,6,41,9,2,5,10,12,0.1,0.1
32,3,ORD-UNION,3,0,3,6,3,9,2,5,10,12,0.1,0.1
33,3,CARD,34,4,40,6,50,9,2,5,10,12,0.1,0.1
34,3,CLF_UNION,31,9,43,6,43,9,2,5,10,12,0.1,0.1
35,3,ORD-UNION,1,0,1,6,1,9,2,5,10,12,0.1,0.1
36,3,CARD,30,8,41,6,48,9,2,5,10,12,0.1,0.1
37,3,CLF_UNION,29,8,40,6,41,9,2,5,10,12,0.1,0.1
38,3,ORD-UNION,0,0,0,6,1,9,2,5,10,12,0.1,0.1
39,3,CARD,25,11,37,6,52,9,2,5,10,12,0.1,0.1
40,3,CLF_UNION,24,14,39,6,40,9,2,5,10,12,0.1,0.1
41,3,ORD-UNION,0,0,0,6,1,9,2,5,10,12,0.1,0.1
