,budget,model,correct,wrong,total,n_pref_input,n_pref_output,theta_size,theta_additivity,n_items,n_test_subsets,n_tiers,alpha,p
0,1,CARD,13,6,25,1,65,28,4,5,10,6,0.7000000000000001,0.1
1,1,CLF_UNION,34,15,73,1,73,28,4,5,10,6,0.7000000000000001,0.1
2,1,ORD-UNION,0,0,0,1,0,28,4,5,10,6,0.7000000000000001,0.1
3,1,CARD,12,10,24,1,66,28,4,5,10,6,0.7000000000000001,0.1
4,1,CLF_UNION,27,16,65,1,65,28,4,5,10,6,0.7000000000000001,0.1
5,1,ORD-UNION,0,0,0,1,0,28,4,5,10,6,0.7000000000000001,0.1
6,1,CARD,7,8,21,1,69,28,4,5,10,6,0.7000000000000001,0.1
7,1,CLF_UNION,26,19,67,1,67,28,4,5,10,6,0.7000000000000001,0.1
8,1,ORD-UNION,0,0,0,1,0,28,4,5,10,6,0.7000000000000001,0.1
9,1,CARD,14,2,25,1,65,28,4,5,10,6,0.7000000000000001,0.1
10,1,CLF_UNION,29,11,73,1,73,28,4,5,10,6,0.7000000000000001,0.1
11,1,ORD-UNION,0,0,0,1,0,28,4,5,10,6,0.7000000000000001,0.1
12,1,CARD,15,4,25,1,65,28,4,5,10,6,0.7000000000000001,0.1
13,1,CLF_UNION,32,8,65,1,65,28,4,5,10,6,0.7000000000000001,0.1
14,1,ORD-UNION,0,0,0,1,0,28,4,5,10,6,0.7000000000000001,0.1
15,2,CARD,23,8,35,3,55,28,4,5,10,6,0.7000000000000001,0.1
16,2,CLF_UNION,27,16,62,3,62,28,4,5,10,6,0.7000000000000001,0.1
17,2,ORD-UNION,0,0,0,3,0,28,4,5,10,6,0.7000000000000001,0.1
18,2,CARD,17,10,37,3,53,28,4,5,10,6,0.7000000000000001,0.1
19,2,CLF_UNION,20,16,60,3,60,28,4,5,10,6,0.7000000000000001,0.1
20,2,ORD-UNION,0,0,0,3,0,28,4,5,10,6,0.7000000000000001,0.1
21,2,CARD,23,5,36,3,54,28,4,5,10,6,0.7000000000000001,0.1
22,2,CLF_UNION,32,7,60,3,60,28,4,5,10,6,0.7000000000000001,0.1
23,2,ORD-UNION,0,0,0,3,0,28,4,5,10,6,0.7000000000000001,0.1
24,2,CARD,25,2,33,3,57,28,4,5,10,6,0.7000000000000001,0.1
25,2,CLF_UNION,29,8,59,3,59,28,4,5,10,6,0.7000000000000001,0.1
26,2,ORD-UNION,0,0,0,3,0,28,4,5,10,6,0.7000000000000001,0.1
27,2,CARD,15,14,35,3,55,28,4,5,10,6,0.7000000000000001,0.1
28,2,CLF_UNION,19,17,58,3,58,28,4,5,10,6,0.7000000000000001,0.1
29,2,ORD-UNION,0,0,0,3,0,28,4,5,10,6,0.7000000000000001,0.1
30,3,CARD,28,0,34,6,56,28,4,5,10,6,0.7000000000000001,0.1
31,3,CLF_UNION,33,2,56,6,56,28,4,5,10,6,0.7000000000000001,0.1
32,3,ORD-UNION,0,0,0,6,0,28,4,5,10,6,0.7000000000000001,0.1
33,3,CARD,18,11,38,6,52,28,4,5,10,6,0.7000000000000001,0.1
34,3,CLF_UNION,24,12,57,6,57,28,4,5,10,6,0.7000000000000001,0.1
35,3,ORD-UNION,0,0,0,6,0,28,4,5,10,6,0.7000000000000001,0.1
36,3,CARD,27,2,39,6,51,28,4,5,10,6,0.7000000000000001,0.1
37,3,CLF_UNION,29,4,56,6,56,28,4,5,10,6,0.7000000000000001,0.1
38,3,ORD-UNION,0,0,0,6,0,28,4,5,10,6,0.7000000000000001,0.1
39,3,CARD,25,9,40,6,50,28,4,5,10,6,0.7000000000000001,0.1
40,3,CLF_UNION,26,14,56,6,56,28,4,5,10,6,0.7000000000000001,0.1
41,3,ORD-UNION,0,0,0,6,0,28,4,5,10,6,0.7000000000000001,0.1
42,3,CARD,19,7,37,6,53,28,4,5,10,6,0.7000000000000001,0.1
43,3,CLF_UNION,27,6,57,6,57,28,4,5,10,6,0.7000000000000001,0.1
44,3,ORD-UNION,0,0,0,6,0,28,4,5,10,6,0.7000000000000001,0.1
45,4,CARD,30,5,41,9,49,28,4,5,10,6,0.7000000000000001,0.1
46,4,CLF_UNION,28,7,56,9,56,28,4,5,10,6,0.7000000000000001,0.1
47,4,ORD-UNION,0,0,0,9,0,28,4,5,10,6,0.7000000000000001,0.1
48,4,CARD,20,9,41,9,46,28,4,5,10,6,0.7000000000000001,0.1
49,4,CLF_UNION,19,10,52,9,55,28,4,5,10,6,0.7000000000000001,0.1
50,4,ORD-UNION,0,0,0,9,3,28,4,5,10,6,0.7000000000000001,0.1
51,4,CARD,20,8,41,9,49,28,4,5,10,6,0.7000000000000001,0.1
52,4,CLF_UNION,27,4,55,9,55,28,4,5,10,6,0.7000000000000001,0.1
53,4,ORD-UNION,0,0,0,9,0,28,4,5,10,6,0.7000000000000001,0.1
54,4,CARD,15,14,41,9,49,28,4,5,10,6,0.7000000000000001,0.1
55,4,CLF_UNION,21,11,55,9,55,28,4,5,10,6,0.7000000000000001,0.1
56,4,ORD-UNION,0,0,0,9,0,28,4,5,10,6,0.7000000000000001,0.1
57,4,CARD,22,6,43,9,47,28,4,5,10,6,0.7000000000000001,0.1
58,4,CLF_UNION,27,2,55,9,55,28,4,5,10,6,0.7000000000000001,0.1
59,4,ORD-UNION,0,0,0,9,0,28,4,5,10,6,0.7000000000000001,0.1
