,budget,model,correct,wrong,total,n_pref_input,n_pref_output,theta_size,theta_additivity,n_items,n_test_subsets,n_tiers,alpha,p
0,1,CARD,7,5,24,1,66,1,1,7,10,7,0.3,0.2
1,1,CARD_COMP,7,5,24,1,66,1,1,7,10,7,0.3,0.2
2,1,CLF_COMP,19,17,76,1,76,1,1,7,10,7,0.3,0.2
3,1,CLF_UNION,19,17,76,1,76,1,1,7,10,7,0.3,0.2
4,1,ORD-INTER,19,17,66,1,66,1,1,7,10,7,0.3,0.2
5,1,ORD-UNION,7,5,24,1,24,1,1,7,10,7,0.3,0.2
6,1,ORD-COMP,7,5,24,1,24,1,1,7,10,7,0.3,0.2
7,1,ORD-COMP,7,5,24,1,24,1,1,7,10,7,0.3,0.2
8,1,CARD,20,3,24,1,66,1,1,7,10,7,0.3,0.2
9,1,CARD_COMP,20,3,24,1,66,1,1,7,10,7,0.3,0.2
10,1,CLF_COMP,36,19,76,1,76,1,1,7,10,7,0.3,0.2
11,1,CLF_UNION,36,19,76,1,76,1,1,7,10,7,0.3,0.2
12,1,ORD-INTER,36,19,66,1,66,1,1,7,10,7,0.3,0.2
13,1,ORD-UNION,20,3,24,1,24,1,1,7,10,7,0.3,0.2
14,1,ORD-COMP,20,3,24,1,24,1,1,7,10,7,0.3,0.2
15,1,ORD-COMP,20,3,24,1,24,1,1,7,10,7,0.3,0.2
16,1,CARD,21,0,21,1,69,1,1,7,10,7,0.3,0.2
17,1,CARD_COMP,21,0,21,1,69,1,1,7,10,7,0.3,0.2
18,1,CLF_COMP,42,21,79,1,79,1,1,7,10,7,0.3,0.2
19,1,CLF_UNION,42,21,79,1,79,1,1,7,10,7,0.3,0.2
20,1,ORD-INTER,42,21,69,1,69,1,1,7,10,7,0.3,0.2
21,1,ORD-UNION,21,0,21,1,21,1,1,7,10,7,0.3,0.2
22,1,ORD-COMP,21,0,21,1,21,1,1,7,10,7,0.3,0.2
23,1,ORD-COMP,21,0,21,1,21,1,1,7,10,7,0.3,0.2
24,1,CARD,14,7,24,1,66,1,1,7,10,7,0.3,0.2
25,1,CARD_COMP,14,7,24,1,66,1,1,7,10,7,0.3,0.2
26,1,CLF_COMP,33,26,76,1,76,1,1,7,10,7,0.3,0.2
27,1,CLF_UNION,33,26,76,1,76,1,1,7,10,7,0.3,0.2
28,1,ORD-INTER,33,26,66,1,66,1,1,7,10,7,0.3,0.2
29,1,ORD-UNION,14,7,24,1,24,1,1,7,10,7,0.3,0.2
30,1,ORD-COMP,14,7,24,1,24,1,1,7,10,7,0.3,0.2
31,1,ORD-COMP,14,7,24,1,24,1,1,7,10,7,0.3,0.2
32,1,CARD,12,7,21,1,69,1,1,7,10,7,0.3,0.2
33,1,CARD_COMP,12,7,21,1,69,1,1,7,10,7,0.3,0.2
34,1,CLF_COMP,25,20,79,1,79,1,1,7,10,7,0.3,0.2
35,1,CLF_UNION,25,20,79,1,79,1,1,7,10,7,0.3,0.2
36,1,ORD-INTER,25,20,69,1,69,1,1,7,10,7,0.3,0.2
37,1,ORD-UNION,12,7,21,1,21,1,1,7,10,7,0.3,0.2
38,1,ORD-COMP,12,7,21,1,21,1,1,7,10,7,0.3,0.2
39,1,ORD-COMP,12,7,21,1,21,1,1,7,10,7,0.3,0.2
