,budget,model,correct,wrong,total,n_pref_input,n_pref_output,theta_size,theta_additivity,n_items,n_test_subsets,n_tiers,alpha,p
0,1,CARD,33,9,49,1,133,1,1,4,14,6,0.1,0.5
1,1,CARD_COMP,33,9,49,1,133,1,1,4,14,6,0.1,0.5
2,1,CLF_COMP,69,45,147,1,147,1,1,4,14,6,0.1,0.5
3,1,CLF_UNION,69,45,147,1,147,1,1,4,14,6,0.1,0.5
4,1,ORD-INTER,69,45,133,1,133,1,1,4,14,6,0.1,0.5
5,1,ORD-UNION,33,9,49,1,49,1,1,4,14,6,0.1,0.5
6,1,ORD-COMP,33,9,49,1,49,1,1,4,14,6,0.1,0.5
7,1,ORD-COMP,33,9,49,1,49,1,1,4,14,6,0.1,0.5
8,2,CARD,42,19,72,3,109,2,1,4,14,6,0.1,0.5
9,2,CARD_COMP,42,19,72,3,109,2,1,4,14,6,0.1,0.5
10,2,CLF_COMP,60,46,138,3,139,2,1,4,14,6,0.1,0.5
11,2,CLF_UNION,60,46,138,3,139,2,1,4,14,6,0.1,0.5
12,2,ORD-INTER,47,33,92,3,93,2,1,4,14,6,0.1,0.5
13,2,ORD-UNION,31,17,56,3,57,2,1,4,14,6,0.1,0.5
14,2,ORD-COMP,31,17,56,3,57,2,1,4,14,6,0.1,0.5
15,2,ORD-COMP,31,17,56,3,57,2,1,4,14,6,0.1,0.5
16,3,CARD,38,30,75,5,105,3,1,4,14,6,0.1,0.5
17,3,CARD_COMP,38,30,75,5,105,3,1,4,14,6,0.1,0.5
18,3,CLF_COMP,59,27,117,5,119,3,1,4,14,6,0.1,0.5
19,3,CLF_UNION,59,27,117,5,119,3,1,4,14,6,0.1,0.5
20,3,ORD-INTER,40,17,63,5,65,3,1,4,14,6,0.1,0.5
21,3,ORD-UNION,36,13,51,5,53,3,1,4,14,6,0.1,0.5
22,3,ORD-COMP,36,13,51,5,53,3,1,4,14,6,0.1,0.5
23,3,ORD-COMP,36,13,51,5,53,3,1,4,14,6,0.1,0.5
24,4,CARD,36,30,73,8,105,3,1,4,14,6,0.1,0.5
25,4,CARD_COMP,36,30,73,8,105,3,1,4,14,6,0.1,0.5
26,4,CLF_COMP,48,34,115,8,119,3,1,4,14,6,0.1,0.5
27,4,CLF_UNION,48,34,115,8,119,3,1,4,14,6,0.1,0.5
28,4,ORD-INTER,40,17,65,8,69,3,1,4,14,6,0.1,0.5
29,4,ORD-UNION,36,13,53,8,57,3,1,4,14,6,0.1,0.5
30,4,ORD-COMP,36,13,53,8,57,3,1,4,14,6,0.1,0.5
31,4,ORD-COMP,36,13,53,8,57,3,1,4,14,6,0.1,0.5
32,5,CARD,34,30,71,11,105,3,1,4,14,6,0.1,0.5
33,5,CARD_COMP,34,30,71,11,105,3,1,4,14,6,0.1,0.5
34,5,CLF_COMP,44,34,109,11,115,3,1,4,14,6,0.1,0.5
35,5,CLF_UNION,44,34,109,11,115,3,1,4,14,6,0.1,0.5
36,5,ORD-INTER,38,17,63,11,69,3,1,4,14,6,0.1,0.5
37,5,ORD-UNION,34,13,51,11,57,3,1,4,14,6,0.1,0.5
38,5,ORD-COMP,34,13,51,11,57,3,1,4,14,6,0.1,0.5
39,5,ORD-COMP,34,13,51,11,57,3,1,4,14,6,0.1,0.5
