,budget,model,correct,wrong,total,n_pref_input,n_pref_output,theta_size,theta_additivity,n_items,n_test_subsets,n_tiers,alpha,p
0,1,CARD,3,5,9,1,21,1,1,3,6,9,0.1,0.5
1,1,CARD_COMP,3,5,9,1,21,1,1,3,6,9,0.1,0.5
2,1,CLF_COMP,9,11,27,1,27,1,1,3,6,9,0.1,0.5
3,1,CLF_UNION,9,11,27,1,27,1,1,3,6,9,0.1,0.5
4,1,ORD-INTER,9,11,21,1,21,1,1,3,6,9,0.1,0.5
5,1,ORD-UNION,3,5,9,1,9,1,1,3,6,9,0.1,0.5
6,1,ORD-COMP,3,5,9,1,9,1,1,3,6,9,0.1,0.5
7,1,ORD-COMP,3,5,9,1,9,1,1,3,6,9,0.1,0.5
8,1,CARD,3,5,9,1,21,1,1,3,6,9,0.1,0.5
9,1,CARD_COMP,3,5,9,1,21,1,1,3,6,9,0.1,0.5
10,1,CLF_COMP,9,11,27,1,27,1,1,3,6,9,0.1,0.5
11,1,CLF_UNION,9,11,27,1,27,1,1,3,6,9,0.1,0.5
12,1,ORD-INTER,9,11,21,1,21,1,1,3,6,9,0.1,0.5
13,1,ORD-UNION,3,5,9,1,9,1,1,3,6,9,0.1,0.5
14,1,ORD-COMP,3,5,9,1,9,1,1,3,6,9,0.1,0.5
15,1,ORD-COMP,3,5,9,1,9,1,1,3,6,9,0.1,0.5
16,1,CARD,3,5,9,1,21,1,1,3,6,9,0.1,0.5
17,1,CARD_COMP,3,5,9,1,21,1,1,3,6,9,0.1,0.5
18,1,CLF_COMP,9,11,27,1,27,1,1,3,6,9,0.1,0.5
19,1,CLF_UNION,9,11,27,1,27,1,1,3,6,9,0.1,0.5
20,1,ORD-INTER,9,11,21,1,21,1,1,3,6,9,0.1,0.5
21,1,ORD-UNION,3,5,9,1,9,1,1,3,6,9,0.1,0.5
22,1,ORD-COMP,3,5,9,1,9,1,1,3,6,9,0.1,0.5
23,1,ORD-COMP,3,5,9,1,9,1,1,3,6,9,0.1,0.5
24,1,CARD,3,5,9,1,21,1,1,3,6,9,0.1,0.5
25,1,CARD_COMP,3,5,9,1,21,1,1,3,6,9,0.1,0.5
26,1,CLF_COMP,9,11,27,1,27,1,1,3,6,9,0.1,0.5
27,1,CLF_UNION,9,11,27,1,27,1,1,3,6,9,0.1,0.5
28,1,ORD-INTER,9,11,21,1,21,1,1,3,6,9,0.1,0.5
29,1,ORD-UNION,3,5,9,1,9,1,1,3,6,9,0.1,0.5
30,1,ORD-COMP,3,5,9,1,9,1,1,3,6,9,0.1,0.5
31,1,ORD-COMP,3,5,9,1,9,1,1,3,6,9,0.1,0.5
32,1,CARD,3,5,9,1,21,1,1,3,6,9,0.1,0.5
33,1,CARD_COMP,3,5,9,1,21,1,1,3,6,9,0.1,0.5
34,1,CLF_COMP,9,11,27,1,27,1,1,3,6,9,0.1,0.5
35,1,CLF_UNION,9,11,27,1,27,1,1,3,6,9,0.1,0.5
36,1,ORD-INTER,9,11,21,1,21,1,1,3,6,9,0.1,0.5
37,1,ORD-UNION,3,5,9,1,9,1,1,3,6,9,0.1,0.5
38,1,ORD-COMP,3,5,9,1,9,1,1,3,6,9,0.1,0.5
39,1,ORD-COMP,3,5,9,1,9,1,1,3,6,9,0.1,0.5
40,2,CARD,6,5,12,3,17,2,1,3,6,9,0.1,0.5
41,2,CARD_COMP,6,5,12,3,17,2,1,3,6,9,0.1,0.5
42,2,CLF_COMP,9,10,26,3,27,2,1,3,6,9,0.1,0.5
43,2,CLF_UNION,9,10,26,3,27,2,1,3,6,9,0.1,0.5
44,2,ORD-INTER,5,6,12,3,13,2,1,3,6,9,0.1,0.5
45,2,ORD-UNION,3,4,8,3,9,2,1,3,6,9,0.1,0.5
46,2,ORD-COMP,3,4,8,3,9,2,1,3,6,9,0.1,0.5
47,2,ORD-COMP,3,4,8,3,9,2,1,3,6,9,0.1,0.5
48,2,CARD,6,5,12,3,17,2,1,3,6,9,0.1,0.5
49,2,CARD_COMP,6,5,12,3,17,2,1,3,6,9,0.1,0.5
50,2,CLF_COMP,9,10,26,3,27,2,1,3,6,9,0.1,0.5
51,2,CLF_UNION,9,10,26,3,27,2,1,3,6,9,0.1,0.5
52,2,ORD-INTER,5,6,12,3,13,2,1,3,6,9,0.1,0.5
53,2,ORD-UNION,3,4,8,3,9,2,1,3,6,9,0.1,0.5
54,2,ORD-COMP,3,4,8,3,9,2,1,3,6,9,0.1,0.5
55,2,ORD-COMP,3,4,8,3,9,2,1,3,6,9,0.1,0.5
56,2,CARD,6,5,12,3,17,2,1,3,6,9,0.1,0.5
57,2,CARD_COMP,6,5,12,3,17,2,1,3,6,9,0.1,0.5
58,2,CLF_COMP,9,10,26,3,27,2,1,3,6,9,0.1,0.5
59,2,CLF_UNION,9,10,26,3,27,2,1,3,6,9,0.1,0.5
60,2,ORD-INTER,5,6,12,3,13,2,1,3,6,9,0.1,0.5
61,2,ORD-UNION,3,4,8,3,9,2,1,3,6,9,0.1,0.5
62,2,ORD-COMP,3,4,8,3,9,2,1,3,6,9,0.1,0.5
63,2,ORD-COMP,3,4,8,3,9,2,1,3,6,9,0.1,0.5
64,2,CARD,6,5,12,3,17,2,1,3,6,9,0.1,0.5
65,2,CARD_COMP,6,5,12,3,17,2,1,3,6,9,0.1,0.5
66,2,CLF_COMP,9,10,26,3,27,2,1,3,6,9,0.1,0.5
67,2,CLF_UNION,9,10,26,3,27,2,1,3,6,9,0.1,0.5
68,2,ORD-INTER,5,6,12,3,13,2,1,3,6,9,0.1,0.5
69,2,ORD-UNION,3,4,8,3,9,2,1,3,6,9,0.1,0.5
70,2,ORD-COMP,3,4,8,3,9,2,1,3,6,9,0.1,0.5
71,2,ORD-COMP,3,4,8,3,9,2,1,3,6,9,0.1,0.5
72,2,CARD,6,5,12,3,17,2,1,3,6,9,0.1,0.5
73,2,CARD_COMP,6,5,12,3,17,2,1,3,6,9,0.1,0.5
74,2,CLF_COMP,9,10,26,3,27,2,1,3,6,9,0.1,0.5
75,2,CLF_UNION,9,10,26,3,27,2,1,3,6,9,0.1,0.5
76,2,ORD-INTER,5,6,12,3,13,2,1,3,6,9,0.1,0.5
77,2,ORD-UNION,3,4,8,3,9,2,1,3,6,9,0.1,0.5
78,2,ORD-COMP,3,4,8,3,9,2,1,3,6,9,0.1,0.5
79,2,ORD-COMP,3,4,8,3,9,2,1,3,6,9,0.1,0.5
80,3,CARD,11,0,11,6,16,3,1,3,6,9,0.1,0.5
81,3,CARD_COMP,11,0,11,6,16,3,1,3,6,9,0.1,0.5
82,3,CLF_COMP,9,4,20,6,23,3,1,3,6,9,0.1,0.5
83,3,CLF_UNION,9,4,20,6,23,3,1,3,6,9,0.1,0.5
84,3,ORD-INTER,6,0,6,6,9,3,1,3,6,9,0.1,0.5
85,3,ORD-UNION,6,0,6,6,9,3,1,3,6,9,0.1,0.5
86,3,ORD-COMP,6,0,6,6,9,3,1,3,6,9,0.1,0.5
87,3,ORD-COMP,6,0,6,6,9,3,1,3,6,9,0.1,0.5
88,3,CARD,11,0,11,6,16,3,1,3,6,9,0.1,0.5
89,3,CARD_COMP,11,0,11,6,16,3,1,3,6,9,0.1,0.5
90,3,CLF_COMP,9,4,20,6,23,3,1,3,6,9,0.1,0.5
91,3,CLF_UNION,9,4,20,6,23,3,1,3,6,9,0.1,0.5
92,3,ORD-INTER,6,0,6,6,9,3,1,3,6,9,0.1,0.5
93,3,ORD-UNION,6,0,6,6,9,3,1,3,6,9,0.1,0.5
94,3,ORD-COMP,6,0,6,6,9,3,1,3,6,9,0.1,0.5
95,3,ORD-COMP,6,0,6,6,9,3,1,3,6,9,0.1,0.5
96,3,CARD,11,0,11,6,16,3,1,3,6,9,0.1,0.5
97,3,CARD_COMP,11,0,11,6,16,3,1,3,6,9,0.1,0.5
98,3,CLF_COMP,9,4,20,6,23,3,1,3,6,9,0.1,0.5
99,3,CLF_UNION,9,4,20,6,23,3,1,3,6,9,0.1,0.5
