,budget,model,correct,wrong,total,n_pref_input,n_pref_output,theta_size,theta_additivity,n_items,n_test_subsets,n_tiers,alpha,p
0,1,CARD,22,1,25,1,65,1,1,4,10,8,0.1,0.1
1,1,CARD_COMP,22,1,25,1,65,1,1,4,10,8,0.1,0.1
2,1,CLF_COMP,41,20,75,1,75,1,1,4,10,8,0.1,0.1
3,1,CLF_UNION,41,20,75,1,75,1,1,4,10,8,0.1,0.1
4,1,ORD-INTER,41,20,65,1,65,1,1,4,10,8,0.1,0.1
5,1,ORD-UNION,22,1,25,1,25,1,1,4,10,8,0.1,0.1
6,1,ORD-COMP,22,1,25,1,25,1,1,4,10,8,0.1,0.1
7,1,ORD-COMP,22,1,25,1,25,1,1,4,10,8,0.1,0.1
8,1,CARD,21,1,24,1,66,1,1,4,10,8,0.1,0.1
9,1,CARD_COMP,21,1,24,1,66,1,1,4,10,8,0.1,0.1
10,1,CLF_COMP,40,20,76,1,76,1,1,4,10,8,0.1,0.1
11,1,CLF_UNION,40,20,76,1,76,1,1,4,10,8,0.1,0.1
12,1,ORD-INTER,40,20,66,1,66,1,1,4,10,8,0.1,0.1
13,1,ORD-UNION,21,1,24,1,24,1,1,4,10,8,0.1,0.1
14,1,ORD-COMP,21,1,24,1,24,1,1,4,10,8,0.1,0.1
15,1,ORD-COMP,21,1,24,1,24,1,1,4,10,8,0.1,0.1
16,1,CARD,21,1,25,1,65,1,1,4,10,8,0.1,0.1
17,1,CARD_COMP,21,1,25,1,65,1,1,4,10,8,0.1,0.1
18,1,CLF_COMP,35,15,75,1,75,1,1,4,10,8,0.1,0.1
19,1,CLF_UNION,35,15,75,1,75,1,1,4,10,8,0.1,0.1
20,1,ORD-INTER,35,15,65,1,65,1,1,4,10,8,0.1,0.1
21,1,ORD-UNION,21,1,25,1,25,1,1,4,10,8,0.1,0.1
22,1,ORD-COMP,21,1,25,1,25,1,1,4,10,8,0.1,0.1
23,1,ORD-COMP,21,1,25,1,25,1,1,4,10,8,0.1,0.1
24,1,CARD,22,1,25,1,65,1,1,4,10,8,0.1,0.1
25,1,CARD_COMP,22,1,25,1,65,1,1,4,10,8,0.1,0.1
26,1,CLF_COMP,40,19,75,1,75,1,1,4,10,8,0.1,0.1
