,budget,model,correct,wrong,total,n_pref_input,n_pref_output,theta_size,theta_additivity,n_items,n_test_subsets,n_tiers,alpha,p
0,1,CARD,6,11,25,1,65,1,1,6,10,5,0.1,0.1
1,1,CARD_COMP,6,11,25,1,65,1,1,6,10,5,0.1,0.1
2,1,CLF_COMP,21,26,75,1,75,1,1,6,10,5,0.1,0.1
3,1,CLF_UNION,21,26,75,1,75,1,1,6,10,5,0.1,0.1
4,1,ORD-INTER,21,26,65,1,65,1,1,6,10,5,0.1,0.1
5,1,ORD-UNION,6,11,25,1,25,1,1,6,10,5,0.1,0.1
6,1,ORD-COMP,6,11,25,1,25,1,1,6,10,5,0.1,0.1
7,1,ORD-COMP,6,11,25,1,25,1,1,6,10,5,0.1,0.1
8,1,CARD,20,3,25,1,65,1,1,6,10,5,0.1,0.1
9,1,CARD_COMP,20,3,25,1,65,1,1,6,10,5,0.1,0.1
10,1,CLF_COMP,35,18,75,1,75,1,1,6,10,5,0.1,0.1
11,1,CLF_UNION,35,18,75,1,75,1,1,6,10,5,0.1,0.1
12,1,ORD-INTER,35,18,65,1,65,1,1,6,10,5,0.1,0.1
13,1,ORD-UNION,20,3,25,1,25,1,1,6,10,5,0.1,0.1
14,1,ORD-COMP,20,3,25,1,25,1,1,6,10,5,0.1,0.1
15,1,ORD-COMP,20,3,25,1,25,1,1,6,10,5,0.1,0.1
16,1,CARD,8,10,24,1,66,1,1,6,10,5,0.1,0.1
17,1,CARD_COMP,8,10,24,1,66,1,1,6,10,5,0.1,0.1
18,1,CLF_COMP,22,24,76,1,76,1,1,6,10,5,0.1,0.1
19,1,CLF_UNION,22,24,76,1,76,1,1,6,10,5,0.1,0.1
20,1,ORD-INTER,22,24,66,1,66,1,1,6,10,5,0.1,0.1
21,1,ORD-UNION,8,10,24,1,24,1,1,6,10,5,0.1,0.1
22,1,ORD-COMP,8,10,24,1,24,1,1,6,10,5,0.1,0.1
23,1,ORD-COMP,8,10,24,1,24,1,1,6,10,5,0.1,0.1
24,1,CARD,14,6,25,1,65,1,1,6,10,5,0.1,0.1
25,1,CARD_COMP,14,6,25,1,65,1,1,6,10,5,0.1,0.1
